date,day_of_week,hour,weather,has_event,is_holiday,actual_covers
2023-01-01,6,11,sunny,0,1,19
2023-01-01,6,12,sunny,0,1,58
2023-01-01,6,13,sunny,0,1,61
2023-01-01,6,14,sunny,0,1,39
2023-01-01,6,15,sunny,0,1,26
2023-01-01,6,16,sunny,0,1,14
2023-01-01,6,17,sunny,0,1,25
2023-01-01,6,18,sunny,0,1,71
2023-01-01,6,19,sunny,0,1,84
2023-01-01,6,20,sunny,0,1,74
2023-01-01,6,21,sunny,0,1,46
2023-01-02,0,11,cloudy,0,0,6
2023-01-02,0,12,cloudy,0,0,19
2023-01-02,0,13,cloudy,0,0,29
2023-01-02,0,14,cloudy,0,0,16
2023-01-02,0,15,cloudy,0,0,8
2023-01-02,0,16,cloudy,0,0,7
2023-01-02,0,17,cloudy,0,0,11
2023-01-02,0,18,cloudy,0,0,30
2023-01-02,0,19,cloudy,0,0,33
2023-01-02,0,20,cloudy,0,0,32
2023-01-02,0,21,cloudy,0,0,20
2023-01-03,1,11,cloudy,0,0,7
2023-01-03,1,12,cloudy,0,0,21
2023-01-03,1,13,cloudy,0,0,25
2023-01-03,1,14,cloudy,0,0,22
2023-01-03,1,15,cloudy,0,0,9
2023-01-03,1,16,cloudy,0,0,5
2023-01-03,1,17,cloudy,0,0,13
2023-01-03,1,18,cloudy,0,0,25
2023-01-03,1,19,cloudy,0,0,41
2023-01-03,1,20,cloudy,0,0,26
2023-01-03,1,21,cloudy,0,0,16
2023-01-04,2,11,stormy,0,0,4
2023-01-04,2,12,stormy,0,0,13
2023-01-04,2,13,stormy,0,0,15
2023-01-04,2,14,stormy,0,0,9
2023-01-04,2,15,stormy,0,0,5
2023-01-04,2,16,stormy,0,0,2
2023-01-04,2,17,stormy,0,0,6
2023-01-04,2,18,stormy,0,0,15
2023-01-04,2,19,stormy,0,0,24
2023-01-04,2,20,stormy,0,0,20
2023-01-04,2,21,stormy,0,0,8
2023-01-05,3,11,sunny,0,0,8
2023-01-05,3,12,sunny,0,0,27
2023-01-05,3,13,sunny,0,0,36
2023-01-05,3,14,sunny,0,0,23
2023-01-05,3,15,sunny,0,0,10
2023-01-05,3,16,sunny,0,0,6
2023-01-05,3,17,sunny,0,0,14
2023-01-05,3,18,sunny,0,0,38
2023-01-05,3,19,sunny,0,0,43
2023-01-05,3,20,sunny,0,0,39
2023-01-05,3,21,sunny,0,0,19
2023-01-06,4,11,rainy,0,0,6
2023-01-06,4,12,rainy,0,0,19
2023-01-06,4,13,rainy,0,0,27
2023-01-06,4,14,rainy,0,0,16
2023-01-06,4,15,rainy,0,0,8
2023-01-06,4,16,rainy,0,0,5
2023-01-06,4,17,rainy,0,0,12
2023-01-06,4,18,rainy,0,0,26
2023-01-06,4,19,rainy,0,0,41
2023-01-06,4,20,rainy,0,0,21
2023-01-06,4,21,rainy,0,0,19
2023-01-07,5,11,sunny,0,0,13
2023-01-07,5,12,sunny,0,0,34
2023-01-07,5,13,sunny,0,0,45
2023-01-07,5,14,sunny,0,0,22
2023-01-07,5,15,sunny,0,0,15
2023-01-07,5,16,sunny,0,0,10
2023-01-07,5,17,sunny,0,0,22
2023-01-07,5,18,sunny,0,0,45
2023-01-07,5,19,sunny,0,0,58
2023-01-07,5,20,sunny,0,0,52
2023-01-07,5,21,sunny,0,0,35
2023-01-08,6,11,rainy,0,0,8
2023-01-08,6,12,rainy,0,0,23
2023-01-08,6,13,rainy,0,0,32
2023-01-08,6,14,rainy,0,0,17
2023-01-08,6,15,rainy,0,0,9
2023-01-08,6,16,rainy,0,0,5
2023-01-08,6,17,rainy,0,0,10
2023-01-08,6,18,rainy,0,0,32
2023-01-08,6,19,rainy,0,0,42
2023-01-08,6,20,rainy,0,0,36
2023-01-08,6,21,rainy,0,0,20
2023-01-09,0,11,cloudy,0,0,7
2023-01-09,0,12,cloudy,0,0,19
2023-01-09,0,13,cloudy,0,0,27
2023-01-09,0,14,cloudy,0,0,18
2023-01-09,0,15,cloudy,0,0,12
2023-01-09,0,16,cloudy,0,0,6
2023-01-09,0,17,cloudy,0,0,12
2023-01-09,0,18,cloudy,0,0,29
2023-01-09,0,19,cloudy,0,0,30
2023-01-09,0,20,cloudy,0,0,34
2023-01-09,0,21,cloudy,0,0,20
2023-01-10,1,11,sunny,0,0,11
2023-01-10,1,12,sunny,0,0,24
2023-01-10,1,13,sunny,0,0,33
2023-01-10,1,14,sunny,0,0,20
2023-01-10,1,15,sunny,0,0,9
2023-01-10,1,16,sunny,0,0,7
2023-01-10,1,17,sunny,0,0,15
2023-01-10,1,18,sunny,0,0,37
2023-01-10,1,19,sunny,0,0,40
2023-01-10,1,20,sunny,0,0,47
2023-01-10,1,21,sunny,0,0,19
2023-01-11,2,11,cloudy,0,0,7
2023-01-11,2,12,cloudy,0,0,20
2023-01-11,2,13,cloudy,0,0,28
2023-01-11,2,14,cloudy,0,0,16
2023-01-11,2,15,cloudy,0,0,8
2023-01-11,2,16,cloudy,0,0,6
2023-01-11,2,17,cloudy,0,0,10
2023-01-11,2,18,cloudy,0,0,31
2023-01-11,2,19,cloudy,0,0,35
2023-01-11,2,20,cloudy,0,0,41
2023-01-11,2,21,cloudy,0,0,18
2023-01-12,3,11,stormy,0,0,4
2023-01-12,3,12,stormy,0,0,13
2023-01-12,3,13,stormy,0,0,13
2023-01-12,3,14,stormy,0,0,10
2023-01-12,3,15,stormy,0,0,6
2023-01-12,3,16,stormy,0,0,2
2023-01-12,3,17,stormy,0,0,6
2023-01-12,3,18,stormy,0,0,17
2023-01-12,3,19,stormy,0,0,24
2023-01-12,3,20,stormy,0,0,16
2023-01-12,3,21,stormy,0,0,9
2023-01-13,4,11,rainy,0,0,7
2023-01-13,4,12,rainy,0,0,20
2023-01-13,4,13,rainy,0,0,22
2023-01-13,4,14,rainy,0,0,16
2023-01-13,4,15,rainy,0,0,9
2023-01-13,4,16,rainy,0,0,4
2023-01-13,4,17,rainy,0,0,12
2023-01-13,4,18,rainy,0,0,27
2023-01-13,4,19,rainy,0,0,30
2023-01-13,4,20,rainy,0,0,33
2023-01-13,4,21,rainy,0,0,15
2023-01-14,5,11,sunny,0,0,14
2023-01-14,5,12,sunny,0,0,39
2023-01-14,5,13,sunny,0,0,47
2023-01-14,5,14,sunny,0,0,31
2023-01-14,5,15,sunny,0,0,19
2023-01-14,5,16,sunny,0,0,9
2023-01-14,5,17,sunny,0,0,17
2023-01-14,5,18,sunny,0,0,43
2023-01-14,5,19,sunny,0,0,58
2023-01-14,5,20,sunny,0,0,55
2023-01-14,5,21,sunny,0,0,33
2023-01-15,6,11,rainy,0,0,8
2023-01-15,6,12,rainy,0,0,26
2023-01-15,6,13,rainy,0,0,28
2023-01-15,6,14,rainy,0,0,24
2023-01-15,6,15,rainy,0,0,11
2023-01-15,6,16,rainy,0,0,5
2023-01-15,6,17,rainy,0,0,10
2023-01-15,6,18,rainy,0,0,33
2023-01-15,6,19,rainy,0,0,40
2023-01-15,6,20,rainy,0,0,39
2023-01-15,6,21,rainy,0,0,21
2023-01-16,0,11,stormy,0,0,4
2023-01-16,0,12,stormy,0,0,10
2023-01-16,0,13,stormy,0,0,12
2023-01-16,0,14,stormy,0,0,9
2023-01-16,0,15,stormy,0,0,6
2023-01-16,0,16,stormy,0,0,3
2023-01-16,0,17,stormy,0,0,5
2023-01-16,0,18,stormy,0,0,16
2023-01-16,0,19,stormy,0,0,23
2023-01-16,0,20,stormy,0,0,17
2023-01-16,0,21,stormy,0,0,11
2023-01-17,1,11,cloudy,0,0,8
2023-01-17,1,12,cloudy,0,0,18
2023-01-17,1,13,cloudy,0,0,29
2023-01-17,1,14,cloudy,0,0,19
2023-01-17,1,15,cloudy,0,0,11
2023-01-17,1,16,cloudy,0,0,6
2023-01-17,1,17,cloudy,0,0,10
2023-01-17,1,18,cloudy,0,0,26
2023-01-17,1,19,cloudy,0,0,42
2023-01-17,1,20,cloudy,0,0,37
2023-01-17,1,21,cloudy,0,0,21
2023-01-18,2,11,rainy,0,0,9
2023-01-18,2,12,rainy,0,0,19
2023-01-18,2,13,rainy,0,0,24
2023-01-18,2,14,rainy,0,0,13
2023-01-18,2,15,rainy,0,0,8
2023-01-18,2,16,rainy,0,0,4
2023-01-18,2,17,rainy,0,0,9
2023-01-18,2,18,rainy,0,0,22
2023-01-18,2,19,rainy,0,0,32
2023-01-18,2,20,rainy,0,0,35
2023-01-18,2,21,rainy,0,0,12
2023-01-19,3,11,sunny,0,0,8
2023-01-19,3,12,sunny,0,0,28
2023-01-19,3,13,sunny,0,0,32
2023-01-19,3,14,sunny,0,0,18
2023-01-19,3,15,sunny,0,0,10
2023-01-19,3,16,sunny,0,0,7
2023-01-19,3,17,sunny,0,0,12
2023-01-19,3,18,sunny,0,0,35
2023-01-19,3,19,sunny,0,0,46
2023-01-19,3,20,sunny,0,0,37
2023-01-19,3,21,sunny,0,0,28
2023-01-20,4,11,rainy,0,0,7
2023-01-20,4,12,rainy,0,0,14
2023-01-20,4,13,rainy,0,0,25
2023-01-20,4,14,rainy,0,0,14
2023-01-20,4,15,rainy,0,0,9
2023-01-20,4,16,rainy,0,0,4
2023-01-20,4,17,rainy,0,0,10
2023-01-20,4,18,rainy,0,0,27
2023-01-20,4,19,rainy,0,0,38
2023-01-20,4,20,rainy,0,0,26
2023-01-20,4,21,rainy,0,0,16
2023-01-21,5,11,sunny,0,0,15
2023-01-21,5,12,sunny,0,0,37
2023-01-21,5,13,sunny,0,0,38
2023-01-21,5,14,sunny,0,0,32
2023-01-21,5,15,sunny,0,0,20
2023-01-21,5,16,sunny,0,0,10
2023-01-21,5,17,sunny,0,0,15
2023-01-21,5,18,sunny,0,0,45
2023-01-21,5,19,sunny,0,0,74
2023-01-21,5,20,sunny,0,0,51
2023-01-21,5,21,sunny,0,0,33
2023-01-22,6,11,cloudy,1,0,15
2023-01-22,6,12,cloudy,1,0,23
2023-01-22,6,13,cloudy,1,0,43
2023-01-22,6,14,cloudy,1,0,30
2023-01-22,6,15,cloudy,1,0,14
2023-01-22,6,16,cloudy,1,0,12
2023-01-22,6,17,cloudy,1,0,17
2023-01-22,6,18,cloudy,1,0,49
2023-01-22,6,19,cloudy,1,0,71
2023-01-22,6,20,cloudy,1,0,72
2023-01-22,6,21,cloudy,1,0,29
2023-01-23,0,11,cloudy,0,0,7
2023-01-23,0,12,cloudy,0,0,23
2023-01-23,0,13,cloudy,0,0,28
